ID,locx,locy
GG1,216,99
GG1,217,100
GG1,217,99
GG1,216,98
GG1,215,98
GG1,216,97
GG1,215,96
GG1,216,96
GG1,217,96
GG1,217,95
GG1,218,94
GG1,218,93
GG1,219,93
GG1,219,92
GG1,220,92
GG1,220,91
GG1,219,91
GG1,219,90
GG1,218,90
GG1,218,89
GG1,218,88
GG1,217,87
GG1,216,87
GG1,215,86
GG1,215,85
GG1,216,86
GG1,216,85
GG1,215,84
GG1,215,83
GG1,215,82
GG1,215,81
GG1,215,80
GG1,215,79
GG1,215,78
GG1,215,77
GG1,214,76
GG1,215,76
GG1,214,75
GG1,214,74
GG1,214,73
GG1,214,72
GG1,215,72
GG1,216,71
GG1,217,71
GG1,217,70
GG1,217,69
GG1,217,68
GG1,218,68
GG1,217,67
GG1,218,67
GG1,219,67
GG1,219,66
GG1,220,65
GG1,221,64
GG1,222,64
GG1,223,64
GG1,224,64
GG1,225,64
GG1,226,64
GG1,227,64
GG1,228,64
GG1,229,64
GG1,230,64
GG1,230,65
GG1,231,66
GG1,231,65
GG1,232,66
GG1,233,67
GG1,234,67
GG1,235,67
GG1,235,68
GG1,236,68
GG1,237,68
GG1,238,69
GG1,238,68
GG1,239,68
GG1,240,68
GG1,241,68
GG1,242,68
GG1,243,69
GG1,244,69
GG1,243,68
GG2,223,121
GG2,222,120
GG2,223,120
GG2,222,119
GG2,222,118
GG2,221,118
GG2,221,117
GG2,221,116
GG2,221,115
GG2,220,114
GG2,220,113
GG2,220,112
GG2,220,111
GG2,220,110
GG2,220,109
GG2,221,110
GG2,221,109
GG2,220,108
GG2,220,107
GG2,220,106
GG2,220,105
GG2,219,104
GG2,220,104
GG2,219,103
GG2,218,102
GG2,218,103
GG2,217,102
GG2,217,101
GG2,217,100
GG2,217,99
GG2,216,98
GG2,216,97
GG2,215,96
GG2,216,96
GG2,215,95
GG2,214,95
GG2,213,94
GG2,212,94
GG2,211,93
GG2,210,92
GG2,209,92
GG2,208,93
GG2,209,93
GG3,282,79
GG3,283,80
GG3,283,79
GG3,282,80
GG3,281,80
GG3,280,81
GG3,279,81
GG3,278,82
GG3,278,81
GG3,277,82
GG3,276,82
GG3,275,83
GG3,274,83
GG3,273,84
GG3,272,84
GG3,271,84
GG3,270,83
GG3,270,84
GG3,269,83
GG3,268,83
GG3,268,84
GG3,267,84
GG3,266,84
GG3,265,84
GG3,264,84
GG3,263,84
GG3,262,84
GG3,261,84
GG3,260,84
GG3,259,84
GG3,259,85
GG3,258,85
GG3,257,84
GG3,258,84
GG3,257,85
GG3,256,85
GG3,256,84
GG3,256,83
GG3,255,84
GG3,254,84
GG3,253,84
GG3,252,84
GG3,251,84
GG3,250,84
GG3,249,85
GG3,250,85
GG4,249,49
GG4,248,49
GG4,247,49
GG4,246,49
GG4,245,49
GG4,244,49
GG4,243,49
GG4,242,49
GG4,241,49
GG4,240,49
GG4,240,50
GG4,240,51
GG4,240,52
GG4,240,53
GG4,240,54
GG4,240,55
GG4,240,56
GG4,240,57
GG4,240,58
GG4,239,59
GG4,239,60
GG4,239,61
GG4,239,62
GG4,239,63
GG4,239,64
GG4,238,65
GG4,239,65
GG4,239,66
GG4,238,66
GG4,238,67
GG4,239,68
GG4,240,68
GG4,241,68
GG4,242,68
GG4,243,68
GG4,243,69
GG4,244,69
GG4,245,69
GG4,246,69
GG4,247,70
GG4,248,70
GG4,248,71
GG4,248,72
GG4,249,73
GG4,249,72
GG4,250,73
GG4,251,73
GG4,252,73
GG4,253,73
GG4,254,74
GG4,254,75
GG4,254,76
GG4,255,77
GG4,254,77
GG4,255,78
GG4,256,78
GG4,256,79
GG4,256,80
GG4,256,81
GG4,256,82
GG4,256,83
GG4,255,84
GG4,254,84
GG4,253,84
GG4,252,84
GG4,251,84
GG4,250,85
GG4,249,85
GG4,248,85
GG4,247,86
GG4,248,86
GG5,163,273
GG5,162,272
GG5,163,272
GG5,162,271
GG5,162,270
GG5,162,269
GG5,162,268
GG5,162,267
GG5,162,266
GG5,162,265
GG5,162,264
GG5,161,264
GG5,161,263
GG5,161,262
GG5,161,261
GG5,161,260
GG5,161,259
GG5,161,258
GG5,161,257
GG5,161,256
GG5,161,255
GG5,161,254
GG5,161,253
GG5,162,252
GG5,162,251
GG5,162,250
GG5,162,249
GG5,162,248
GG5,162,247
GG5,162,246
GG5,162,245
GG5,162,244
GG5,162,243
GG5,163,242
GG5,162,242
GG5,163,241
GG5,164,240
GG5,163,240
GG5,164,239
GG5,164,238
GG5,164,237
GG5,165,236
GG5,164,235
GG5,164,236
GG5,165,235
GG5,165,234
GG5,165,233
GG5,165,232
GG5,166,231
GG5,166,230
GG5,166,229
GG5,167,230
GG5,167,229
GG5,167,228
GG5,167,227
GG5,167,226
GG5,167,225
GG5,167,224
GG5,167,223
GG5,167,222
GG5,167,221
GG5,167,220
GG5,167,219
GG5,167,218
GG5,167,217
GG5,168,216
GG5,167,216
GG5,168,215
GG5,168,214
GG5,169,213
GG5,168,212
GG5,169,211
GG5,169,210
GG5,169,209
GG5,169,208
GG5,170,207
GG5,170,206
GG5,170,205
GG5,170,204
GG5,171,204
GG5,171,203
GG5,172,202
GG5,171,202
GG5,172,201
GG5,172,200
GG5,173,199
GG5,173,198
GG5,172,199
GG6,84,180
GG6,85,181
GG6,84,181
GG6,83,181
GG6,82,181
GG6,81,181
GG6,81,180
GG6,80,180
GG6,79,180
GG6,78,180
GG6,77,180
GG6,77,181
GG6,76,181
GG6,75,181
GG6,74,181
GG6,73,181
GG6,72,181
GG6,71,181
GG6,71,180
GG6,70,180
GG6,69,181
GG6,69,180
GG6,68,181
GG6,67,181
GG6,66,181
GG6,65,180
GG6,65,179
GG6,64,180
GG6,64,181
GG6,63,181
GG6,62,182
GG6,62,181
GG6,61,181
GG6,61,180
GG6,60,180
GG6,61,179
GG6,60,179
GG6,59,179
GG6,58,178
GG6,57,178
GG6,58,179
GG6,59,178
GG7,101,182
GG7,102,182
GG7,103,181
GG7,103,180
GG7,103,179
GG7,103,178
GG7,103,177
GG7,103,176
GG7,103,175
GG7,104,174
GG7,104,173
GG7,104,172
GG7,104,171
GG7,103,170
GG7,104,169
GG7,104,168
GG7,105,167
GG7,104,167
GG7,105,166
GG7,105,165
GG7,106,165
GG7,107,164
GG7,106,164
GG7,107,163
GG7,108,162
GG7,107,162
GG7,108,161
GG7,109,161
GG7,109,160
GG7,109,159
GG7,109,158
GG7,109,157
GG7,109,156
GG7,109,155
GG7,109,154
GG7,109,153
GG7,109,152
GG7,110,151
